Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
CentralAir_Y,1.638622806069287e-13,0.0,6.554491224277148e-13,0.0
Electrical_FuseA,0.0,-0.0,-0.0,-0.0
Electrical_FuseF,0.0,0.0,-0.0,-0.0
Electrical_FuseP,0.0,0.0,0.0,-0.0
Electrical_Mix,-0.0,-0.0,-0.0,-0.0
Electrical_SBrkr,-0.0,0.0,0.0,0.0
KitchenQual_Ex,19487.674090399414,19817.731881495838,19755.207863303793,21359.778667032544
KitchenQual_Fa,-168.00951313659178,-109.94335028365154,-0.0,-0.0
KitchenQual_Gd,1363.5290292753523,1426.93305266892,0.0,0.0
KitchenQual_TA,-251.87178365436498,-462.4140706017446,-2890.3810243798907,-3770.966622498756
Functional_Maj1,-3357.737651958122,-733.429249638361,-0.0,-0.0
Functional_Maj2,-0.0,-0.0,-0.0,-0.0
Functional_Min1,0.0,0.0,0.0,0.0
Functional_Min2,-0.0,-0.0,-0.0,-0.0
Functional_Mod,0.0,0.0,-0.0,-0.0
Functional_Sev,-0.0,-0.0,-0.0,-0.0
Functional_Typ,13791.665811822884,14369.740928698142,14841.306112378337,14533.482762457508
GarageType_2Types,-5074.69648693,-0.0,-0.0,-0.0
GarageType_Attchd,0.0,0.0,0.0,0.0
GarageType_Basment,-463.03262086046124,-0.0,-0.0,-0.0
GarageType_BuiltIn,1432.8202171498963,1445.798874744701,329.85636234395486,0.0
GarageType_CarPort,-0.0,-0.0,-0.0,-0.0
GarageType_Detchd,0.0,0.0,-0.0,-0.0
GarageType_None,0.0,0.0,0.0,-0.0
FireplaceQu_Ex,-0.0,-0.0,-0.0,0.0
FireplaceQu_Fa,-0.0,-0.0,-0.0,-0.0
FireplaceQu_Gd,669.5568315134744,0.0,0.0,6.399162150035379
FireplaceQu_None,-185.4052825718459,-493.1162102067935,-1085.3307035011874,-1829.6768979762878
FireplaceQu_Po,-0.0,-0.0,-0.0,-0.0
FireplaceQu_TA,1308.775878191948,393.1118237304745,0.0,0.0
GarageFinish_Fin,1096.2008598820612,1513.65611860522,1655.5056268153055,1652.9293557281871
GarageFinish_None,0.0,0.0,0.0,-0.0
GarageFinish_RFn,-415.57199184986916,-1.213249485507868,-0.0,-0.0
GarageFinish_Unf,-0.0,-0.0,-0.0,-0.0
GarageQual_Fa,-3651.7760439845165,-3445.578141407426,-1384.9080926887702,-0.0
GarageQual_Gd,0.0,0.0,0.0,0.0
GarageQual_None,0.0,0.0,0.0,-0.0
GarageQual_Po,-0.0,-0.0,-0.0,-0.0
GarageQual_TA,-0.0,-0.0,0.0,0.0
GarageCond_Ex,0.0,0.0,0.0,0.0
GarageCond_Fa,-1749.2702011613285,-767.7936715652623,-0.0,-0.0
GarageCond_Gd,-0.0,-0.0,-0.0,-0.0
GarageCond_None,0.0,0.0,0.0,-0.0
GarageCond_Po,-0.0,-0.0,-0.0,-0.0
GarageCond_TA,1573.407936945831,2090.4398556771666,1876.2159445264087,960.5540461722635
PavedDrive_N,-0.0,-0.0,-0.0,-0.0
PavedDrive_P,-1363.4254251834384,-0.0,-0.0,-0.0
PavedDrive_Y,562.1803576633766,736.9877911491569,690.9780618746568,521.9723829232283
PoolQC_Ex,0.0,0.0,0.0,0.0
PoolQC_Gd,0.0,0.0,0.0,0.0
PoolQC_None,0.0,0.0,-0.0,-0.0
Fence_GdPrv,-0.0,-0.0,-0.0,-0.0
Fence_GdWo,0.0,0.0,0.0,-0.0
Fence_MnPrv,255.91829773967908,32.21252485143821,0.0,0.0
Fence_MnWw,-0.0,-0.0,-0.0,-0.0
Fence_None,0.0,-0.0,-0.0,-0.0
MiscFeature_Gar2,-0.0,-0.0,-0.0,-0.0
MiscFeature_None,0.0,0.0,0.0,0.0
MiscFeature_Othr,0.0,0.0,0.0,0.0
MiscFeature_Shed,0.0,-0.0,-0.0,-0.0
SaleType_COD,-0.0,-0.0,-0.0,-0.0
SaleType_CWD,0.0,0.0,0.0,0.0
SaleType_Con,0.0,0.0,0.0,0.0
SaleType_ConLD,0.0,0.0,-0.0,-0.0
SaleType_ConLI,-0.0,-0.0,-0.0,-0.0
SaleType_ConLw,0.0,0.0,0.0,0.0
SaleType_New,16553.92440774542,17597.765371515838,17246.995320094426,16471.454546659697
SaleType_Oth,0.0,0.0,0.0,0.0
SaleType_WD,-2201.8278713926748,-1809.6773766165888,-0.0,-0.0
OverallCond_1,-0.0,-0.0,-0.0,-0.0
OverallCond_2,-0.0,-0.0,-0.0,-0.0
OverallCond_3,-17765.496478172583,-16365.512978533752,-11768.338354014671,-6372.1918205666825
OverallCond_4,-11736.581998094027,-11678.6415696207,-11072.132322585294,-9529.324568396461
OverallCond_5,-3160.6247748449377,-2661.35296111073,-1597.5680469970646,-481.68710299373157
OverallCond_6,0.0,0.0,0.0,0.0
OverallCond_7,7791.017202991105,7693.672472439435,6380.069504157658,5652.277943844871
OverallCond_8,6940.9720204866035,6074.738286998502,3145.69937495559,1036.575765166867
OverallCond_9,11505.070317337557,9704.955505776006,2708.1576246640425,0.0
SaleCondition_Abnorml,-9306.387925806825,-8420.377507426047,-9118.736733870037,-8383.02020917182
SaleCondition_AdjLand,0.0,0.0,0.0,0.0
SaleCondition_Alloca,-0.0,-0.0,-0.0,-0.0
SaleCondition_Family,-1384.6672907406364,-0.0,-0.0,-0.0
SaleCondition_Normal,601.9406387870348,1464.6979818773034,0.0,0.0
SaleCondition_Partial,0.0,0.0,0.0,0.0
OverallQual_1,-0.0,-0.0,-0.0,-0.0
OverallQual_2,0.0,0.0,0.0,-0.0
OverallQual_3,-0.0,-0.0,-0.0,-0.0
OverallQual_4,-2346.13449599593,-2771.5071364721803,-4626.243160991822,-2540.933459840824
OverallQual_5,-2429.0034450723624,-3114.5247779719866,-5528.449709786614,-3621.198868819451
OverallQual_6,-3.638511130117433,-905.6592480354708,-4366.738300065022,-3207.3692025965306
OverallQual_7,6498.046391749086,5149.617295725904,0.0,0.0
OverallQual_8,21277.850518727748,19917.297319489666,14166.613550612137,13100.75942813069
OverallQual_9,51842.5441484209,49438.908890634426,39273.52935063727,32731.29414839728
OverallQual_10,82854.79020238321,79790.34972110303,67012.87379182928,55697.59244692437
